Date,Region,Category,Revenue,Profit,Quantity,Profit_Margin_Pct
2023-11-16,North America,Food & Beverage,10439.65,2869.04,27.0,27.48214738999871
2024-11-27,APAC,Home & Garden,7819.83,1834.0,19.0,23.45319527406606
2024-05-22,North America,Home & Garden,1432.65,467.5,13.0,32.63183610791191
2022-05-12,EMEA,Food & Beverage,17000.12,3989.54,47.0,23.467716698470365
2023-09-20,North America,Sports,13723.24,4095.34,43.0,29.84236958619102
2023-09-30,Middle East,Apparel,348.26,66.09,31.0,18.977200941825075
2023-11-19,EMEA,Sports,12918.35,1110.29,34.0,8.594673468360897
2022-09-24,APAC,Home & Garden,5435.56,1624.27,44.0,29.8822936367182
2023-02-18,LATAM,Food & Beverage,3787.54,598.43,23.0,15.799965148882917
2024-04-21,APAC,Apparel,6880.98,1394.91,19.0,20.27196707445742
2024-11-03,LATAM,Food & Beverage,361.17,112.54,33.0,31.159841625827173
2024-05-03,EMEA,Home & Garden,1355.97,125.57,4.0,9.260529362744013
2022-02-02,LATAM,Electronics,4999.36,1355.55,12.0,27.11447065224349
2023-12-28,North America,Food & Beverage,11105.42,3003.92,28.0,27.049134566725076
2022-05-24,Middle East,Apparel,5504.16,399.48,30.0,7.257783203976629
2022-03-07,EMEA,Apparel,1776.49,477.37,6.0,26.871527562778287
2023-03-30,North America,Apparel,13099.04,4503.92,37.0,34.383588415639615
2024-01-01,North America,Sports,11733.94,3153.76,33.0,26.8772466878133
2024-08-10,North America,Apparel,12053.46,2641.13,41.0,21.911799599451115
2022-07-30,North America,Beauty,11749.28,3178.2,47.0,27.05016818051829
2023-10-01,North America,Home & Garden,9765.57,868.63,35.0,8.894821295633538
2023-11-04,North America,Beauty,985.49,125.3,2.0,12.714487209408517
2022-03-05,Middle East,Beauty,1675.67,398.86,4.0,23.80301610699004
2023-03-18,LATAM,Home & Garden,530.73,172.04,5.0,32.41572927854087
2023-11-17,North America,Apparel,127.05,35.4,6.0,27.863046044864227
2024-11-21,EMEA,Electronics,4146.15,1361.38,25.0,32.83479854805061
2024-07-03,EMEA,Apparel,11211.57,1781.65,27.0,15.891173136322568
2024-10-24,APAC,Electronics,7545.04,1108.46,24.0,14.691240868173
2023-10-20,Middle East,Apparel,70.87,15.86,1.0,22.379003809792575
2023-06-02,North America,Apparel,12452.19,2215.61,38.0,17.792934415552605
2022-02-17,North America,Food & Beverage,426.96,28.23,11.0,6.61186059584036
2022-03-14,EMEA,Beauty,1133.91,72.85,3.0,6.424672152110837
2023-07-07,Middle East,Food & Beverage,5137.75,304.3,26.0,5.922826139847209
2023-08-15,North America,Apparel,16524.21,4343.83,30.0,26.28767124116675
2024-01-24,LATAM,Apparel,6397.33,507.37,29.0,7.930964949439845
2024-11-08,LATAM,Sports,5482.87,1403.32,20.0,25.594624712969665
2022-02-14,EMEA,Sports,1614.3,411.04,4.0,25.46242953602181
2023-10-30,Middle East,Home & Garden,299.87,91.61,1.0,30.54990495881549
2024-05-05,APAC,Apparel,15496.33,1965.88,34.0,12.68610051541236
2022-11-01,Middle East,Food & Beverage,19895.73,6106.82,47.0,30.69412381450693
2023-05-17,North America,Electronics,8430.6,2431.6,28.0,28.842549759210495
2023-06-01,EMEA,Apparel,19176.43,4879.15,36.0,25.4434740981507
2024-05-26,APAC,Beauty,16408.02,4053.43,33.0,24.703955748469344
2023-12-10,APAC,Sports,587.76,161.85,7.0,27.536749693752547
2024-08-20,APAC,Food & Beverage,2368.1,501.01,19.0,21.156623453401462
2023-10-23,APAC,Beauty,1029.39,100.79,3.0,9.791235586123822
2022-02-14,Middle East,Home & Garden,7043.7,1510.3226226479203,25.0,21.44217701844088
2023-01-17,EMEA,Apparel,2253.51,745.27,11.0,33.071519540627726
2022-10-08,Middle East,Food & Beverage,7536.72,451.24,29.0,5.987219904680019
2023-01-14,North America,Electronics,2784.13,1047.42,38.0,37.62108809574266
2022-10-01,Middle East,Beauty,1996.36,683.57,5.0,34.24081828928651
2023-06-13,North America,Sports,2313.3,356.31,25.0,15.402671508234988
2022-07-04,EMEA,Sports,7465.53,928.3,37.0,12.43448221358698
2022-11-14,Middle East,Home & Garden,4894.74,1681.83,43.0,34.35994557422866
2024-10-25,North America,Apparel,3262.96,976.1,25.0,29.914556108564007
2024-12-14,North America,Beauty,42.9,8.88,3.0,20.6993006993007
2022-09-27,EMEA,Home & Garden,3449.53,352.54,8.0,10.219943006728453
2024-10-08,LATAM,Electronics,4239.25,534.51,41.0,12.608598219024591
2023-11-30,Middle East,Beauty,16082.86,3633.37,49.0,22.59156642537459
2022-12-22,Middle East,Beauty,5773.04,1698.18,20.0,29.415697795269047
2024-12-18,APAC,Home & Garden,15247.44,2378.73,45.0,15.600848404715808
2022-04-17,LATAM,Electronics,5310.66,1225.81,24.0,23.08206512938128
2022-04-29,North America,Food & Beverage,11990.9,4426.9,30.0,36.918830112835565
2024-01-06,Middle East,Beauty,296.56,59.63,17.0,20.10722956568654
2022-03-10,North America,Beauty,1804.78,665.03,22.0,36.848258513503026
2023-09-13,LATAM,Electronics,2559.1,920.03,11.0,35.95131100777617
2024-07-23,Middle East,Beauty,635.41,49.93,5.0,7.85791850930895
2022-05-08,APAC,Electronics,3454.17,732.2433117572912,8.0,21.198820896403223
2024-03-18,APAC,Sports,9343.36,1864.18,27.0,19.951923076923077
2023-06-21,LATAM,Food & Beverage,7385.59,1417.01,28.0,19.186144911916312
2022-04-19,APAC,Food & Beverage,5958.67,645.19,14.0,10.82775183052594
2024-03-18,North America,Beauty,1282.55,454.15,11.0,35.40992553896534
2024-11-10,North America,Electronics,10057.97,2626.13,25.0,26.10994067391333
2023-01-11,Middle East,Electronics,7267.43,586.2,15.0,8.066125163916269
2023-04-02,North America,Food & Beverage,6323.9,497.73,20.0,7.870617814955962
2022-09-01,Middle East,Electronics,931.65,74.98,11.0,8.04808672784844
2023-04-28,LATAM,Apparel,2424.61,908.89,26.0,37.486028680901256
2022-09-22,APAC,Apparel,14877.47,4892.06,33.0,32.88233819325463
2023-08-03,APAC,Food & Beverage,3174.96,865.74,24.0,27.267745105450146
2024-03-24,North America,Sports,10149.18,3603.38,33.0,35.50414910367143
2022-09-26,APAC,Apparel,12504.27,2970.32,31.0,23.75444548142355
2023-04-05,North America,Apparel,6915.42,1195.12,35.0,17.28195829031353
2022-05-22,LATAM,Food & Beverage,14089.22,3000.67,36.0,21.29763038691993
2023-04-29,EMEA,Food & Beverage,5726.78,1437.11,34.0,25.094555753844215
2022-10-31,EMEA,Electronics,8224.64,677.51,25.0,8.23756419733873
2023-09-22,Middle East,Home & Garden,4268.76,1569.69,46.0,36.7715683242909
2022-08-29,EMEA,Food & Beverage,1148.43,144.26,24.0,12.561497000252517
2024-09-07,LATAM,Food & Beverage,19603.48,2819.43,37.0,14.382293347915779
2022-08-13,Middle East,Food & Beverage,4876.81,997.58,27.0,20.45558469573348
2023-04-27,Middle East,Home & Garden,13276.88,817.56,27.0,6.157772006676267
2024-01-17,LATAM,Apparel,14911.01,4916.35,46.0,32.97127424634549
2024-03-27,Middle East,Apparel,19021.37,5378.72,44.0,28.277248168770182
2024-10-25,APAC,Food & Beverage,6112.32,438.88,32.0,7.180252342809277
2023-08-06,Middle East,Beauty,519.9,93.72,9.0,18.026543566070398
2023-11-05,APAC,Electronics,1933.76,419.41,6.0,21.688834188317063
2023-05-08,APAC,Food & Beverage,268.84,89.31,8.0,33.220502901353974
2023-10-22,APAC,Food & Beverage,10805.49,2465.55,44.0,22.817567736400665
2023-01-15,APAC,Food & Beverage,6477.46,1254.73,16.0,19.3707101240301
2024-06-21,LATAM,Home & Garden,19432.2,6790.45,43.0,34.9443192227334
2024-08-01,North America,Sports,1740.16,409.76,11.0,23.547260022066936
2023-08-26,APAC,Food & Beverage,19895.3,5130.12,48.0,25.785587550828588
2024-12-13,APAC,Electronics,5873.16,843.23,43.0,14.357347662927625
