Date,Region,Category,Revenue,Profit,Quantity
2023-11-16,North America,Food & Beverage,10439.65,2869.04,27.0
2024-11-27,APAC,Home & Garden,7819.83,1834.0,19.0
2024-05-22,North America,Home & Garden,1432.65,467.5,13.0
2022-05-12,EMEA,Food & Beverage,17000.12,3989.54,47.0
2023-09-20,North America,Sports,13723.24,4095.34,43.0
2023-09-30,Middle East,Apparel,348.26,66.09,31.0
2023-11-19,EMEA,Sports,12918.35,1110.29,34.0
2022-09-24,APAC,Home & Garden,5435.56,1624.27,44.0
2023-02-18,LATAM,Food & Beverage,3787.54,598.43,23.0
2024-04-21,APAC,Apparel,6880.98,1394.91,19.0
2024-11-03,LATAM,Food & Beverage,361.17,112.54,33.0
2024-05-03,EMEA,Home & Garden,1355.97,125.57,4.0
2022-02-02,LATAM,Electronics,4999.36,1355.55,12.0
2023-12-28,North America,Food & Beverage,11105.42,3003.92,28.0
2022-05-24,Middle East,Apparel,5504.16,399.48,30.0
2022-03-07,EMEA,Apparel,1776.49,477.37,6.0
2023-03-30,North America,Apparel,13099.04,4503.92,37.0
2024-01-01,North America,Sports,11733.94,3153.76,33.0
2024-08-10,North America,Apparel,12053.46,2641.13,41.0
2022-07-30,North America,Beauty,11749.28,3178.2,47.0
2023-10-01,North America,Home & Garden,9765.57,868.63,35.0
2023-11-04,North America,Beauty,985.49,125.3,2.0
2022-03-05,Middle East,Beauty,1675.67,398.86,4.0
2023-03-18,LATAM,Home & Garden,530.73,172.04,5.0
2023-11-17,North America,Apparel,127.05,35.4,6.0
2024-11-21,EMEA,Electronics,4146.15,1361.38,25.0
2024-07-03,EMEA,Apparel,11211.57,1781.65,27.0
2024-10-24,APAC,Electronics,7545.04,1108.46,24.0
2023-10-20,Middle East,Apparel,70.87,15.86,1.0
2023-06-02,North America,Apparel,12452.19,2215.61,38.0
2022-02-17,North America,Food & Beverage,426.96,28.23,11.0
2022-03-14,EMEA,Beauty,1133.91,72.85,3.0
2023-07-07,Middle East,Food & Beverage,5137.75,304.3,26.0
2023-08-15,North America,Apparel,16524.21,4343.83,30.0
2024-01-24,LATAM,Apparel,6397.33,507.37,29.0
2024-11-08,LATAM,Sports,5482.87,1403.32,20.0
2022-02-14,EMEA,Sports,1614.3,411.04,4.0
2023-10-30,Middle East,Home & Garden,299.87,91.61,1.0
2024-05-05,APAC,Apparel,15496.33,1965.88,34.0
2022-11-01,Middle East,Food & Beverage,19895.73,6106.82,47.0
2023-05-17,North America,Electronics,8430.6,2431.6,28.0
2023-06-01,EMEA,Apparel,19176.43,4879.15,36.0
2024-05-26,APAC,Beauty,16408.02,4053.43,33.0
2023-12-10,APAC,Sports,587.76,161.85,7.0
2024-08-20,APAC,Food & Beverage,2368.1,501.01,19.0
2023-10-23,APAC,Beauty,1029.39,100.79,3.0
2022-02-14,Middle East,Home & Garden,7043.7,,25.0
2023-01-17,EMEA,Apparel,2253.51,745.27,11.0
2022-10-08,Middle East,Food & Beverage,7536.72,451.24,29.0
2023-01-14,North America,Electronics,2784.13,1047.42,38.0
2022-10-01,Middle East,Beauty,1996.36,683.57,5.0
2023-06-13,North America,Sports,2313.3,356.31,25.0
2022-07-04,EMEA,Sports,7465.53,928.3,37.0
2022-11-14,Middle East,Home & Garden,4894.74,1681.83,43.0
